epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,13715.3,0.89411,0.82407,1.38148,0.79204,0.77673,0.82523,0.53292,1.16942,0.93045,1.63528,0.0031525,0.0031525,0.0031525
84,13816.2,0.89411,0.82407,1.38148,0.79204,0.77673,0.82523,0.53292,1.16942,0.93045,1.63528,0.0031525,0.0031525,0.0031525
85,13878,0.88435,0.80873,1.36934,0.80728,0.7727,0.82647,0.53449,1.16727,0.92328,1.63904,0.00307,0.00307,0.00307
85,13980.5,0.88435,0.80873,1.36934,0.80728,0.7727,0.82647,0.53449,1.16727,0.92328,1.63904,0.00307,0.00307,0.00307
86,14042.4,0.87802,0.79996,1.36694,0.83515,0.76349,0.82622,0.5347,1.17083,0.91405,1.64522,0.0029875,0.0029875,0.0029875
86,14145.7,0.87802,0.79996,1.36694,0.83515,0.76349,0.82622,0.5347,1.17083,0.91405,1.64522,0.0029875,0.0029875,0.0029875
87,14208.2,0.88093,0.8056,1.37552,0.84631,0.7498,0.82615,0.53794,1.17068,0.91095,1.64427,0.002905,0.002905,0.002905
87,14310.4,0.88093,0.8056,1.37552,0.84631,0.7498,0.82615,0.53794,1.17068,0.91095,1.64427,0.002905,0.002905,0.002905
88,14373,0.87875,0.80412,1.37645,0.84172,0.75416,0.82665,0.53693,1.16947,0.90414,1.64262,0.0028225,0.0028225,0.0028225
88,14475.2,0.87875,0.80412,1.37645,0.84172,0.75416,0.82665,0.53693,1.16947,0.90414,1.64262,0.0028225,0.0028225,0.0028225
89,14537.6,0.88283,0.79672,1.36527,0.80554,0.77998,0.82918,0.54295,1.16713,0.90189,1.63945,0.00274,0.00274,0.00274
89,14639.6,0.88283,0.79672,1.36527,0.80554,0.77998,0.82918,0.54295,1.16713,0.90189,1.63945,0.00274,0.00274,0.00274
90,14701.7,0.85358,0.77229,1.34857,0.80045,0.7893,0.83089,0.54128,1.16813,0.902,1.64552,0.0026575,0.0026575,0.0026575
90,14803.4,0.85358,0.77229,1.34857,0.80045,0.7893,0.83089,0.54128,1.16813,0.902,1.64552,0.0026575,0.0026575,0.0026575
91,14866.3,0.8566,0.77019,1.352,0.79815,0.7903,0.83133,0.54031,1.17112,0.90137,1.64812,0.002575,0.002575,0.002575
91,14967.1,0.8566,0.77019,1.352,0.79815,0.7903,0.83133,0.54031,1.17112,0.90137,1.64812,0.002575,0.002575,0.002575
92,15030.4,0.86044,0.77489,1.35456,0.80936,0.78092,0.83218,0.54288,1.17523,0.89669,1.65595,0.0024925,0.0024925,0.0024925
